Bream,Roach,Whitefish,Parkki,Perch,Smelt,Vertical Length (cm),Diagonal Length (cm),Cross Length (cm),Height (cm),Diagonal Width (cm),Weight (g)
0,0,0,0,0,1,9.3,9.8,10.8,1.7388,1.0476,6.7
0,0,0,0,0,1,10,10.5,11.6,1.972,1.16,7.5
0,0,0,0,0,1,10.1,10.6,11.6,1.7284,1.1484,7
0,0,0,0,0,1,10.4,11,12,2.196,1.38,9.7
0,0,0,0,0,1,10.7,11.2,12.4,2.0832,1.2772,9.8
0,0,0,0,0,1,10.8,11.3,12.6,1.9782,1.2852,8.7
0,0,0,0,0,1,11.3,11.8,13.1,2.2139,1.2838,10
0,0,0,0,0,1,11.3,11.8,13.1,2.2139,1.1659,9.9
0,0,0,0,0,1,11.4,12,13.2,2.2044,1.1484,9.8
0,0,0,0,0,1,11.5,12.2,13.4,2.0904,1.3936,12.2
0,0,0,0,0,1,11.7,12.4,13.5,2.43,1.269,13.4
0,0,0,0,0,1,12.1,13,13.8,2.277,1.2558,12.2
0,0,0,0,0,1,13.2,14.3,15.2,2.8728,2.0672,19.7
0,0,0,0,0,1,13.8,15,16.2,2.9322,1.8792,19.9
